total_return,sharpe,max_dd,trend_weight
0.4991497855646889,1.4762832867575286,-0.3722896376608643,0.5
0.4991497855646889,1.455970867875475,-0.3123093977842619,0.4
0.5598134817454075,1.4236572905072433,-0.3722896376608643,0.6
0.4991497855646889,1.343941617309787,-0.3123093977842619,0.3
0.03095121884657548,1.305105286967169,-0.3722896376608643,0.7
0.4991497855646889,1.206271829484414,-0.3123093977842619,0.2
0.03095121884657548,1.0911931929261192,-0.3722896376608643,0.8
0.4991497855646889,0.9065995668638642,-0.3722896376608643,0.1
0.4991497855646889,0.850774269075361,-0.17600738786129866,0.0
0.07266907260572641,0.8427743749716271,-0.3722896376608643,0.9
0.07266907260572641,0.2489911034414951,-0.12395757674714236,1.0
